N; Data;Nome;Nacionalidade;Profissão;Domicilio;OBJECTO DA INVENÇÃO;OBSERVAÇÔES
4.728;13 > >>;Louis André Noël;Francez;Engenheiro;Paris (França);<Chapa Nova roda elastica.;NA
4.729;13 >;Roberto Brown;Inglez;>;Londres (Inglaterra);Meios aperfeic ados para operar com- mutadores electricos empregados;NA
4.73;21 > >;Arthur Sebastião Hayden Hitchings;Brasileiro,;Negociante;Rio de Janeiro;em tracção electrica no systema de contacto de superficie. Apparelho geometrico denominado;NA
;;;;;;< Scaleno Hitchings, que se des- tina a determinar praticamente os lados do quadrado isoperime- tro e do quadrado equivalente á circumferencia e ao circulo de raio;NA
4.731 4.732;22 > 22 >;Manoel Francisco Pacheco Thomaz Alexandre Stephen Wood;Brasileiro Inglez;Industrial Engenheiro;Rezende (Estado do Rio de Ja- neiro). Londres (Inglaterra),;"dado, Bebida aperfeiçoada, fabricada unica- mente de producto de canoa de assucar e denominada <Nectar flu- minense"". Apparelho aperfeiçoado para lim-";NA
;;;;;;par, tingir ou tratar de outro modo lã, pellos, algodão e outra materia fibrosa ou textil.;NA
4.750 4.751;8 de out. 8 >;Carlos de Cerqueira Pinto (Dr.) o mesmo;Brasileiro -;Medico -;Belém ( Estado do Pará);Preparado chimico, a que denomi- nou < Mangabina >, destinado a coagular o leite da maniçoba e da mangaba, afim de ser convertido em borracha (1). Preparado chimico, a que denomi- nou <Seringuina liquidas, desti- estado liquido;NA
;;;;;;nado a conservar em o leite da seringueira ( syphonia elastica ), da maniçoba, da manga beira e de outros leites vegetaes de que se possa extrahir borracha (2).;NA
4.752;"13 "" >";Taborda & Comp;Brasileiros.;Negociantes;Recife (Estado de Pernambueo) Milão (Italia);Processo para a fabricação de tin- tas. Apparelhos voadores sobre a agua,;NA
4.753;"13 """;Enrico Forlanini;Italiano.;Engenheiro;;denominados < Appareils hydrovo- lants>. Aperfeiçoamentos relativos a tubos de;NA
4.754;13 >;Matthew Henry Rylatt;Inglez;Industrial;Boston (Inglaterra);drenagem, esgoto e semelhantes. de janellas de;NA
4.755;15;Rodolpho Ahrons;Brasileiro;Engenheiro;Porto Alegre ( Estado do Rio Grande do Sul).;Systema aperfeiçoado corrediça e contrapeso, denominado;NA
4.756;15;João Scheliga.;Allemão;Mecanico;S. Paulo (Estado de S. Paulo);Compasso de medição dupla, de- nominado <Compasso Duplex. Exbrugador de care e arroz, deno-;NA
4.757;15 > >;José Soares Marcondes;Brasileiro;Industrial;Franca (Estado de S. Paulo);"minado Marconde"". Aperfeiçoamentos em machinas actua-";NA
4.758;15 > >;Simon Lake;Norte-americano.;Engenheiro;Berlim (Allemanha) Renfrew (Escossia);das pelo calor. Aperfeiçoamentos nos apparelhos para;NA
4.759;15 >;Fred Lobnitz;Inglez;Engenheiro e constructor na- val.;Gallarato (Italia);partir ou cortar rochas, pedras e terras, seja debaixo de agua, seja em terreno secco. Machina de amassar, aperfeiçoada,;NA
4.76;15 > >;Eugenio Meschini (firma);Italiana;Industrial;Rio de Janeiro;destinada a amassar quaesquer materias. Systema de fabricação de caixas e;NA
4.761;17 > >;Michelini Michele e Quadrelli Pasquale;Italianos;Industriaes;;depositos para agua, banheiros, tanques, barcos, pontes e outras construcções de cimento armado. em machinas de;NA
4.762;17;Toronto Type Foundry Company, Limited;Norte-americana;Industrial;Toronto (Canadá);Aperfeiçoamentos linotypia.;NA
4.763;26;Sociedade Industrial Brasileira de Pro- duetos Chimicos e Explosivos <F. Nobre & Compa.;Brasileira;;S. Paulo (Estado de s. Paulo).;Processo aperfeiçoado para extracção do tannino ou materias tannicas proprias para curtir pelles, e ap- parelho para esse fim.;NA
4.764;26 >;Luiz Marekety;Brasileiro;Profesor e advogado;s. Carlos do Pinhal (Estado S. Paulo).;de Novo apparelho de aparar e seccar caté e amparar cafeeiros, denomi- nado <Appar lho Utilitas>.;NA
4.765;26;Luiz Rodrigues Lopes;;Industrial;Botucató (Estado de S. Paulo).;Machina de matar formigas, denomi- nada <Sul Paulista- lavar;NA
4.766;26;Benaiah Gustin Jayme e Climpson Moore Knight;Norte-americano;Engenheiro mecanico e etricista.;Nova York (Estailo Unidos ele- America).;da Apparelho aperfeiçoado para e amalgamar ouro.;NA
;CARTA-PATENTE;;;CONCESSIONARIO;;;NA
4.767;26 de out.;José P. Tibyriça e Willard Halstead;Brasileiro. Norte-americano.;Negociante, Industrial;S. Paulo (Estado de S. Paulo) Syracusa, Nova York (Estados;Aperfeiçoamentos em descascadores de café.;NA
4.768;26;Affonso Hartung;Brasileiro,;Engenheiro;Unidos da America) S. Paulo (Estado de S. Paulo);Descascador café outros;NA
4.769;26;Merrell Soule Company;Norte-americana;Industrial;Syracusa, Nova York (Estados;para ou grãos, denominado < Descascador Duplo Paulistas. Processo aperfeiçoado;NA
4.77;26;Victor Talking Machine Company;;>;Unidos da America). Camden, Nova Jersey (Estados;para se- parar os constituintes solidos dos liquidos e apparelho para esse fim. (1);NA
4.771;26 >;Fritz André;Allemão;Agricultor;Unidos da America). Haardt (Allemauha);Aperfeiçoamentos em machinas fal- lantes. Processo para a fabricação de aço;NA
4.772;26 >;Christian Emil Bichel;>;Industrial;Hamburgo Allemanha);e apparelho para esse fim. Processo de fabricação de um ex-;NA
4.773;26 >;Paul Auscher e Charles;Francez;Architecto;;plosivo plastico por meio do trini- trovluol. Novo dispo itivo de caderno duplica-;NA
4.774;26 >;Dehainault Ferdinand Heberlein;Allemão.;Eugenheiro;Pariz (França) Londres (Inglaterra);dor e triplicador. Processo de agglomeração dos mi-;NA
4.775;26;Natthew William Walbank Mackie;Inglez.;Engenheiro-electricista;Ealing (Inglaterra);nereos de forro e de manganez pul- verulentos, das cinzas de pyrites, pós de altos-fornos e productos ana- logos. Aperfeiçoamentos em machinas dy-;NA
4.776;26;George William Beynon e Gardiner;:;Engenheiro-civil;Mortimer (Inglaterra);namo-electricas e motores electri- cos, permittindo manter constante a força electro-motriz, sob veloci- dades variaveis. Aperfeiçoamentos em apparelho;NA
4.777;30 >;Henderson Mackillop Federico B. Vilaró;Argentino;Commerciante;Strattord-on-Avon (Inglaterra). Buesos Aires (Republica Argen-;para pulverizar, triturar, seccar e ou- tras operações effectuadas por um peso (ou pesos) que se suspen- de e se deixa cahir. Instrumento, denominado < Ferra-;NA
4.778;30 > >;Bento Ribeiro da Cunha;Portuguez;Industrial;tida) Rio de Janeiro;menta util>, que reune em si, em uma só pega, diversos meios é fer- ramentas para poder servir como chave ingleza, machado, martello, corta-arame, chave de parafuso, bigorna, etc., destinado especial- mente a serviço de campo. Systema especial de fabricação de;NA
4.779 4.780;31 >;Paul Kaack & C°;Allemães;Ind lustriaes;Hanfburgo (Allemanha);calçado de forma direita. Machina de beneficiar café, para lavar, limpar, tingir e lustrar café;NA
;31;Os mesmos.;;;);e cereas. (2) Nova machina de beneficiar café, para lavar, limpar, tingir e lustrar café e cereaes. (3);NA
4.781;31 de out.;Antonio Ennea de Souza (Dr.);Brasileiro;Engenheiro de minas e lente da Escola Polytechnica.;Rio de Janeiro;Para-choques e mais dispositivos para para-choques e freios destinados á recepção, absorpção e transmissão de forças exteriores, especialmente de choques ou percursão, denom- nados Para-choques e freios Ennes de Souza>.;NA
4.782;5 de nov.;René Picard;Francez;Engenheiro;Paris (França);Contador horo-kilometrico para ve- hiculos.;NA
4.783;5 > >;Aristides Lustosa de Carvalho;Brasileiro;Industrial;Rio de Janeiro;Novo systema de aros para rodas de carros, automoveis e outros vehi- culos, denominado <Rodas ameri- canas>.;NA
4.784;5 >;John Burgum;Inglez;Engenheiro mecanico;Rio de Janeiro;Aperfeiçoamentos em caixas de des-;NA
;;;;;;carga de apparelhos sanitarios, para lavagem.;NA
4.785;5 >;José Simão da Costa;Brasileiro;Industrial;Belém (Estado do Pará);Novo processo de fabricar borracha;NA
;;;;;;"do later extrahido das arvores de- nominadas: seringueira (Hevea Bra- siliensis), caucho (Castiloa elastica), maniçoba (Manihot Glasioni), man- gabeira, massaranduba ou qualquer arvore das que produzem latex susceptivel de coagular e conver- ter-se em caoutchouc; e um appare- lho mecanico para a fabricação au- tomatica de borracha pura e fina, por meio do processo referido.";NA
4.786;5 >;Antonio Augusto Pereira da Fonseca;Portuguez;Horticultor;Rio de Janeiro;Applicação nova das fibras e cel-;NA
;;;;;;lulosa das plantas Hibiscus bi/urca- la e Hibiscus sabdarifera á fabrica- ção de papel, tecidos e artefactos diversos.;NA
4.787;5 >;Pamplona Sobrinho & Comp;Brasileiros;Negociantes;s. Paulo (Estado de S. Paulo);Novo systema de caixa aperfeiçoada para acondicionamento de lubrifl- cante.;NA
4.788;5;Joo & Pellicciotti (firma);Brasileira;Industrial;(;) Novo processo de fabricação de pedra artificial, imitando o granito traba- lhado, denominada <Granilita>.;NA
4.789;5l;United Shos Machinery Company of South America.;forte-americana;>;Portland ( Estados Unidos da America);Machina aperfeiçoada para ajuntar partes de calçado na fabricação do mesmo. (1);NA
4.79;6;Antonio Matheus Dias Fernandes;Brasileiro;Negociante;Rio de Janeiro;Preparado, denominado << Capilol >, para revigorar o cabello e evitar a sua queda.;NA
4.791;6;Claudo De Albertis;Inglez;Engenheiro;Liverpool (Inglaterra);Aperfeiçoamentos em ou reforentes a;NA
4.792;6;Arthur Faching;Argentino;Industrial;Rio de Janeiro;valvulas ou torneiras de gaz, de rechament automatico. Systema de fabricação e preparo;NA
;;e Carlos Alberto Fernandes.;Brasileiro;;;de balões cartivos applicados a an- nuncios e reclames commerciaes e outros.;NA
4.793;8;Eugenio Fontan e Alfredo Burnier;Brasileiros.;Funccionarios publicos;;Apparelho automatico destinado a promover a lavagem e desinfecção das latrinas e mictorios.;NA
4.794;9 de nov.;Aurelio Dias;Brasileiro;Industrial;Rio de Janeiro;Nova bebida, a que denominou <Cognac de agrião e baunilha>.;NA
4.795;14 > >;Fausto Dias Ferraz;;Advogado;S. Paulo (Estado de S. Paulo);Apparelho denominado < Apparelho anto-thermico electrico, systema Ferraz>.;NA
4.796;24 >;Alberto Löfgren;;Naturalista;);Nova applicação das cascas da Acacia decurrens mollissima, Acacia pycnan- tha, Acacia saligna, Eucolyptus occi- dentalis e Cosalpina coriaria ao pre- paro de materias tanninas.;NA
4.797;24 >> >;Companhia <Fiat Lux>;Brasileira;Industrial;Rio de Janeiro;Novo processo de fabricação de palitos;NA
4.798;24 >;Lourenço Fritelli;Italiano;Desenhista architectonico e;;para phosphoros e machina para esse fim.;NA
;;;;constructor;;Novo processo de construcção de es- cadas de alvenaria.;NA
4.799;24 >;Victor Talking Machine Company;lorte-americana;Industrial;Camden, Nova Jersey (Estados Unidos da America);Aperfeiçonmentos em machinas fal- lantes.;NA
4.8;24 >;Joseph Kudlicz;Austriaco;Industrial;Praga, Bohemia (Austria);Aperfeiçoamentos em foguistas meca- nicos.;NA
4.801;24 >;United Shoe Machinery Company of South America.;Norte-americana;;Portland (E-tados Unidos da America).;Machina aperfeiçoada de pregar, para a fabricação de calçados (1).;NA
4.802;27;Frank Albert Decker;;Engenheiro electricista;Philadelphia (Estados Unidos da;Bateria primaria.;NA
4.803;22 dez.;Osear Fernandes Ribeiro;Brasileiro.;Negociante.;America). Nitheroy (Estado do Rio de Ja- neiro).;Novo systema de vassouras e espana- dores.;NA
4.804;29;Roberto de Struve.;Norte-americano.;Mecanico.;Petropolis (Estado do Rio de Ja- neiro).;Systema aperfeiçoado de fabricar cravos de ferrar e machina para esse fim.;NA
4.805;;João Baptista Salvador;Austriaco;Mecanico agronomo;S. Simão (Estado de s. Paulo).;Novo ventilador dobrado, sem jogo, denominado <Salvador>.;NA
4.806;;Antoine Henri Imbert;Francez;Engenheiro;Grand-Montrouge (França);Processo aperfeiçoado de tratamento;NA
;;;;;;dos minereos sulphurados de zinco e de chumbo.;NA
4.807;24 >;Heari Bertela;Belga;Industrial;Schaerbeck (Belgica);Processo de purificação do succo de canna por meio de acido fluosili-;NA
4.808;28;Josi de Magalhães Bastos;Brasileiro;;Rio de Janeiro;cico. Processo especial para flores im- permeaveis, que poderão com faci- lidade substituir as de biscuit, natu- raes ou de panno,;NA
4.432 A;3 de jan.;Hugo Lentz e Charles Bellens;Allemão Francez;Engenheiro;Berlim (Allemanba) Neuilly- sur - Seine (França).;Aparfeiçoamentos em locomotivas a vapor superaquecido.;4.432 23 de outubro de 1905
4.531 A;22 de mar.;João Fernandes do Couto;Portuguez;Industrial;Rio de Janeiro;Apparelho para graduação de penna d'agua.;4.531 15 de fevereiro de 1906
3.695 A;24 de abr.;Bertholdo Kellner;Brasileiro;;s. Paulo (Estado de s. Paulo).;"Machina de beneficiar café, deno- minada) <Ideal"".";3.693 24 de outubro de 1902
4.079 A (*);2) de agt.;Victorio Antonio de Perini (Dr.);Italiano;Chimico industrial;Rio de Janeiro;Applicação da fibra de uma planta -de sua descoberta, a que denomi- nou Canhamo Brasiliensis Perini, ns industria textil e da sua ma- deira na industria do papel.;4.079 16 de maio de 1904
3.121 B;6 de out.;Henrique Brüggmann;Allemão;Commerciante;;Serigote destinado ao serviço de davallaria militar, ao qual deno- minou <Serigote militara.;3.121 21 de junho de 1900
4.602 A;9 de nov.;Affonso Pimenta Velloso;Brasileiro;Industrial;;Noio processo de extracção de cel- da canna de assucar.;4.602 25 de abril de 1906
