"N";"Data";"Nome";"Nacionalidade";"Profissão";"Domicilio";"OBJECTO DA INVENÇÃO";"OBSERVAÇÔES"
"65";"20";"Adél Barreto Pinto João de Figueiredo Ro- cha.";"Brazileiro";"Engenheiro";"Rio de Janeiro. Idem";"Um Ascensor hydraulico"" que tem por fim o aproveitamento de todas as aguas sem quéda natural, inclusive as do mar, captando forças em transformação de ener- gia electrica ou dando-lhe todas as applicações hydraulicas de ca- nalização para differentes mistères.";"30 de novembro de 1905."
"66";"23";"Victor Hanriot";"""";"Industrial";"";"Mortalhas para fabricação de cigar- ros, denominadas Palhas hygi- enicas";"5 de dezembrode 1905."
""67;"30";"Augusto Bruno Bagnani";"Italiano";"Engenheiro";"";"Um apparelho destinado à lavagem da estopa.";"19 de agosto de 1905."
"4.240";"31";"Joaquim Rodrigues de Lima.";"Brazileiro";"Lavrador.";"S. Carlos do Pi- nhal (Estado de S. Paulo).";"Uma machina de beneficiar café, deno- minada Rodrigues Lima"".";NA
"4.241";"3 de fev.";"Josef Schulz.";"Austriaco";"Engenheiro in- dustrial.";"Petropolis (E. do Rioi de Janeiro)";"Um apparelho ventilador movel ada- ptado às cadeiras de balanço em geral, simples ou complicadas.";NA
"4.242";"9";"Francisco Galizio";"Brazileiro";"Empregado pu- blico e electri- cista.";"S. Paulo (Estado de s. Paulo).";"Um graduador electrico aperfeiçoado, denominado Graduador Galizio"".";NA
"4.243";"9";"Edouard Belin Marcel Belin.";"Francez";"Engenheiro";"(Lyon (França).";"Processo para transmittir a distancias imagens opticas reaes e apparelhos para esse fim.";NA
"4.244";"9";"Carlos J. Williams";"Britannico";"Lavrador.";"s. Paulo (Estado des. Paulo).";"Novo processo formicida e machina para applical-o.";NA
"4.245";"9";"Martin Echegaray";"Hespanhol";"Commerciante";"Buenos Aires (R. Argentina).";"Uma caderneta de viagem para uso dos viajantes de Buenos Aires á Europa e vice=versa.";NA
"4.246";"9 "">.";"Lars Christian Nielsen.";"Dinamarquez";"Constructor.";"Copenhague (Di- namarca).";"Aperíeiçoamentos em combustores para lampadas de oleo dotadas de véo in- candescente.";NA
"4.247";"11";"Dr. Carlos de Cerqueira Pinto.";"Brazileiro";"Medico";"Belém (Estado do Pará).";"Um preparado chimico, que denominou Seringuina "", destinado a retardar por tempo variavel a coagulação do leite da Syphonia Elastica, vul- garmente conhecida por "" Serin- gueira "".";NA
"4.248";"14";"Dr. João Baptista de La- cerda.";"";"";"Rio de Janeiro.";"Jma substancia para applicação exter- na, em fricção cutanea, que denomi- nou Konopothanatus brasiliensis- Preservativo da malaria e da febre amarella";NA
"4.256";">";"Cabral dos Santos & c.";"Brazileiros -";"Negociantes.";"Idem";"Um separador e classificador para café, denominado A Separador e Classifi- cador Nacional""";NA
"4,257";"";"Ruffin North";"Britannico -";"Proprietario";"Londres (Ingla- terra).";"Aperfeiçoamentos em machinas para imprimir e distribuir "" tickets e registrar preços de passagens.";NA
"4.258";"";"George Jones Atkins";"";"Iudustrial";"Tottenham (In- glaterra).";"Aperfeiçoamentos em polos ou electro- dos de apparelhos electrolyticos e analogos.";NA
"4.259";"";"Mendes, Santos & Bor- ges.";"Brazileiros";"Commerciantes.";"Rio de Janeiro.";"Um "" fecho de garantia"", destinado a ser applicado em pacotes ou fardos de fumo.";NA
"4.260";"";"Francisco Bech.";"Francez";"Agente commer- cial.";"Idem";"Um carro automovel annunciador com projecções luminosas nocturnas ao automobilismo, podendo durante o dia ser empregado sem as projecções.";NA
"4.261";"10";"John Francis Ohmer.";"Norte-america - no.";"Industrial";"Dayton, Ohio (E. U. da America do Norte).";"Aperfeiçoamentos em machinas para distribuir "" tickets e corresponden- cias.";NA
"4.262";"10";"o mesmo.";"-";"-";"-";"Aperfeiçoamentos em machinas para distribuir e registrar < tickets""";NA
"4.263";"15";"João Gonçalves Ferreira Tito.";"Brazileiro";"Cirurgião den- tista.";"Rio de Janeiro.";"Um ascensor submarino.";NA
"4.264";"15";"Sociedade Electro-Ma- gnetische Gesellschaft m. b. H.";"Allemã";"Industrial";"Francfort-sobre- o-Meno (Alle- manha).";"Uma armatura rotativa dynamo-ele- etrica para effectuar a separação electro-magnetica.";NA
"9.265";"17";"Diego Mattei";"Italiano";"Engenheiro";"Genova (Italia).";"Uma machina para tintura continua do algodão em titas de cardas.";NA
"4.266";"27";"Antonio Mauricio Ma- chado da Cruz.";"Portuguez";"Conductor de obras publicas";"Lisboa (Portu- gal).";"Uma vela annunciadora.";NA
"4.267";"27";"Paulo Alves da Silva Tel- les.";"Brazileiro";"Lavrador";"Jahu (Estado de s. Paulo).";"Um novo descascador, denominado Descascador Paulo Telles";NA
"4.329";"6 >";"(Juan Sarghel Francisco Koepp";"Romaico Suisso.";"Professor. Engen.mecanico";"Rosario de San- ta Fé (R. Ar- gentina).";"Um systema de alimentação continua e automatica dos geradores de vapor por meio exclusivamente da agua con- densada do vapor de escapamento, sem necessidade de bombas, injecto- res ou outros apparelhos auxiliares e sem introducção de nova agua.";NA
"4.330";"7";"José Maria de Assis";"Brazileiro";"Guarda-livros .";"Rio de Janciro.";"Recipientes sanitarios de exgottos para aldeias e cidades que não tenham ex- gottos.";NA
"4.331";"";"(James Grosham Harry Edward Grosham. George Kiernan";"Britannico";"Engenheiro";"(Salford (Ingla- ) terra).";"Aperfeiçoamentos em mecanismo de froio para trens e vehiculos.";NA
"4.332";"";"Carlos Würdig.";"Brazileiro";"Industrial";"Porto Alegre (E. do Rio Grande do Sul).";"Novo apparelho aperfeiçoado para fa- bricação de crina vegetal.";NA
"4.333";"14";"Candido José Teixeira (Dr.).";"";"Medico";"S. Paulo (Estado de S. Paulo).";"Uma carroça hermeticamente fechada para transporte de lixo.";NA
"4.334";"14";"Companhia Nacional Bra- zileira de Phosphoros de Segurança.";"Brazileira";"Industrial";"Idem";"Uma fita ou cinta de segurança destina- da a ser applicada a pacotes e outros envoltorios de phosphoros para im- pedir a sua contrafacção.";NA
"4.335";"14";"Joséphine Crosse";"Franceza.";"";"Paris (França).";"Um apparelho meconico para uso dos acrobatas.";NA
"4.336";"16";"Dimas Hernandez";"Hespanhol";"Mecanico.";"Bebedouro (E. de s. Paulo.";"Nova machina para descascar arroz, denominada "" Descascador Dimas "".";NA
"4.337";"17";"Henrique Zettel.";"Brazileiro";"Engenhoiro'.";"s. Paulo (Estado de s. Paulo).";"Um processo chimico-mecanico para a preparação da fibra de aramina ou de quaesquer outras fibras textis.";NA
"4.338";"17";"Luiz Cesar de Siqueira.";"";"Industrial";"Rio de Janeiro.";"Um memorandum de gabinete.";NA
"4.367";"15";"Arthur Mc Gonagle";"Norte-americ.";"Engenheiro me canico.";"East Orange (E. de New Jersey E. U. A. N.).";"Aperfeiçoamentos em descaroçadores, de cylindro, para algodão.";NA
"4.368";"15";"Ralph Starrett";"";"Industrial";"Idem";"Aperfeiçoamentos em descaroçador para algodão.";NA
"4.369";"15";"Actien-Gesellschaft vorm. c.H. Stobwasser & Co.";"Allemã";"";"Berlin (Allema- uha).";"Um gazeificador para lampadas e com- bustores de qualquer natureza ali- mentados por vapores de combusti- veis liquidos.";NA
"4.370";"15";"A mesma";"-";"";"-";"Uma lampada de incandescencia a al- cool.";NA
"4.371";"19";"Alberto Jacobsen";"Brazileiro";"Negociante";"Rio de Janeiro.";"Uma caixa para exposição e conserva- ção de folhas seccas, flores naturaes seccas, flores de pennas, flores de panno e outras flores artificiaes, musgos seccos, borboletas, insectos, conchas e objectos similares.";NA
"4.372";"19";"Amilcare Lusuardi";"Italiano";"Engenheiro me- canico.";"Idem";"Novo systema de fabricação de pedra artificial denominada "" Pedra Gra- nito artificial - Systema do enge- nheiro Amileare Lusuardi"".";NA
"4.373";"20";"Bemvinde Torres Brandão";"Brazileiro";"Negociante";"Campos (E. do Rio de Janeiro)";"Um apparelho destinado a varrer, re- colher e transportar o lixo das vias publicas,";NA
"4.374";"20";"Lucien Crespin.";"Francez";"Chimico";"Paris (França).";"Aperfeiçoamentos em processos e ma- chinas empregados na fabricação da seda, trina e palha artificiaes.";NA
"4.375";"21";"Carlos Miká de Magalhães";"Brazileiro";"Industrial";"Rio de Janeiro.";"Nova solução para a limpeza de vidros, crystaes, marmores e outros simila- res, denominada "" Radium-Rey >.";NA
"4.376";"22";"Herbert Samuel Elworthy";"Britannico";"Engenheiro chi- mico.";"Saint Albans(In- glaterra).";"Um processo novo para a fabricação, por meio de apparelhos especiaes, de gaz para illuminação, aquecimento ou força motriz.";NA
"3.656 B";"8 de março";"Pedro Pellegrino .";"Italiano";"Industrial";"Rio de Janciro.";"Um apparelho denominado "" Flexomoto"", destinado a attenuar o balanço dos vehi- culos quando em movimento.";"3.656 4 de setembro de 1902."
"4.188.";"13";"Guilherme Florence";"Brazileiro";"Engenheiro";"S. Paulo (Estado de S. Paulo).";"Novo ingrediente formicida, denominado "" Pyrites For- micidas "".";"4.188 18 de novembro de 1904."
"4.179 A";"25 de abril";"John B. Orr.";"Norte-americ.";"Negociante";"Rio de Janeiro.";"Aperfeiçoamentos em calça- mento para climas quentes.";"4.179 11 de novembro de 1904."
"4.152 A";"16 de maio";"José del Cioppo.";"Italiano";"Industrial";"S. Paulo (Estado de s. Paulo).";"Uma machina aperfeiçoada de beneficiar arroz.";"4.152 29 de setembro de 1904."
"3.755 A";"27";"Xavier da Silveira & Comp.";"Brazileiros";"Engenheiros in- dustriaes.";"Idem";"Canos de madeira para agua "" Systema Excelsior "".";"3.755 20 de dezembro de 1902."
"3.734 A";"8 de agosto";"Bento Martins Costa.";"Portuguez";"Negociante";"Rio de Janeiro.";"Massa para polir calçado preto ou de côr, denominada Pasta americana *";"3.734 4 de dezembro de 1902."
"3.957";"A126 """;"Otéro, Gomes & Comp.";"Brazileiros";"Negociantes e industriaes";"Porto Alegre (E do Rio Grande do Sul).";"Um systema de fechamento para latas destinadas a con- ter banha e manteiga de fabricação nacional.";"3.957124 de outubro de 1903"
"4.282 A";"26";"Octaviode Almeida Ca- margo.";"Brasileiro";"Lavrador.";"s. João do Rio Claro (Estado de S. Paulo).";"Um esbrugador de café Ca- margo "".";"4.282 10 de abril da 1905."
"4.105 A";"16 de out.";"Société Anonyme. Westinghouse. Maurice Leblanc.";"Franceza Francez";"Industrial Engenheiro";"Paris. Auteuil (França)";"Nova machina refrigerante";"4.105,27 de junho de 1904."
"4.243 A";"23";"Edouard Belin. Marcel Belin.";""" """;">> """;"Lyon (França).";"Um processo para transmittir a distancias imagens opticas reaes e apparelhos para esse fim.";"4.243 9 de fevereiro de 1905."
"3.571 A";"28 de nov.";"Carlos MonteirodeLa- cerda.";"Brazileiro";"Industrial";"Porto Alegre (E. do Rio Grande do Sul).";"Um novo processo para pre- parar xarque, denominado "" Xarque-Frescal Inaltera- vel "".";"3.571 16 de maio de 1902."
